event_id,timestamp,source_ip,destination_ip,username,event_type,severity,hostname
SIEM-D02,2026-09-15T09:02:00Z,185.220.101.7,10.0.2.3,root,failed_login,high,server-08
SIEM-D03,2026-09-15T09:03:00Z,185.220.101.7,10.0.2.4,root,failed_login,high,server-12
SIEM-D04,2026-09-15T09:04:00Z,185.220.101.7,10.0.2.5,root,failed_login,high,server-12
SIEM-D05,2026-09-15T09:05:00Z,185.220.101.7,10.0.2.6,test,failed_login,high,server-12
SIEM-D06,2026-09-15T09:06:00Z,185.220.101.7,10.0.2.7,root,failed_login,high,server-16
SIEM-D07,2026-09-15T09:07:00Z,185.220.101.7,10.0.2.8,test,failed_login,high,server-16
SIEM-D08,2026-09-15T09:08:00Z,185.220.101.7,10.0.2.9,admin,failed_login,high,server-16
SIEM-E00,2026-09-11T12:00:00Z,203.0.113.10,10.0.9.9,carol,failed_login,medium,server-20
SIEM-MISS00,,,10.0.5.72,,successful_login,low,
SIEM-MISS01,2026-09-13T10:00:00Z,10.0.25.8,10.0.39.3,user15,successful_login,,server-17
SIEM-MISS02,2026-09-14T03:00:00Z,10.0.36.73,10.0.1.165,user22,successful_login,low,server-24
SIEM-MISS03,2026-09-14T21:00:00Z,,10.0.35.152,user25,successful_login,low,server-09
SIEM-MISS04,2026-09-12T01:00:00Z,10.0.22.61,10.0.8.37,,successful_login,,server-10
SIEM-MISS05,,10.0.11.175,10.0.30.181,user01,successful_login,low,server-24
SIEM-MISS06,2026-09-11T15:00:00Z,,10.0.17.110,user17,successful_login,low,
SIEM-MISS07,2026-09-14T13:00:00Z,10.0.33.58,10.0.7.59,administrator,successful_login,,server-21
SIEM-MISS08,2026-09-13T21:00:00Z,10.0.33.58,10.0.39.3,,successful_login,low,server-07
SIEM-MISS09,2026-09-14T16:00:00Z,,10.0.24.156,user25,successful_login,low,server-06
SIEM-BAD00,not-a-timestamp,999.999.999.999,10.0.20.25,user08,teleport_detected,low,server-02
SIEM-BAD01,2026-09-15T11:00:00Z,10.0.16.153,10.0.37.209,user03,successful_login,extreme,server-03
SIEM-BAD02,not-a-timestamp,10.0.32.109,10.0.5.72,user25,successful_login,low,server-18
SIEM-BAD03,2026-09-15T09:00:00Z,999.999.999.999,10.0.9.190,user05,successful_login,extreme,server-22
SIEM-BAD04,not-a-timestamp,10.0.31.141,10.0.36.73,user06,teleport_detected,low,server-09
SIEM-BAD05,2026-09-15T07:00:00Z,10.0.34.116,10.0.39.3,user14,successful_login,extreme,server-07
SIEM-BAD06,not-a-timestamp,999.999.999.999,10.0.35.152,user25,successful_login,low,server-24
SIEM-N0000,2026-09-12T06:00:52.679100Z,10.0.34.116,10.0.29.168,user04,successful_login,low,server-03
SIEM-N0001,2026-09-13T19:25:47.037152Z,10.0.15.24,10.0.38.224,user08,successful_login,low,server-23
SIEM-N0002,2026-09-12T08:16:03.522459Z,10.0.3.8,10.0.22.61,user03,successful_login,low,server-09
SIEM-N0003,2026-09-12T03:43:21.599776Z,10.0.9.190,10.0.37.209,user19,successful_login,low,server-26
SIEM-N0004,2026-09-13T03:14:35.688648Z,10.0.7.59,10.0.7.59,user22,successful_login,low,server-14
SIEM-N0005,2026-09-13T10:40:03.816747Z,10.0.4.191,10.0.7.59,user02,vulnerability_scan,low,server-11
SIEM-N0006,2026-09-11T11:55:44.035308Z,10.0.13.230,10.0.13.230,user18,successful_login,low,server-14
SIEM-N0007,2026-09-14T13:58:53.168540Z,10.0.5.72,10.0.29.168,user26,successful_login,medium,server-18
SIEM-N0008,2026-09-15T00:15:03.429417Z,10.0.35.152,10.0.1.165,user03,failed_login,high,server-28
SIEM-N0009,2026-09-14T07:38:04.060086Z,10.0.31.141,10.0.14.141,administrator,successful_login,low,server-02
SIEM-N0010,2026-09-14T16:14:36.763555Z,10.0.25.8,10.0.17.110,carol,successful_login,medium,server-15
SIEM-N0011,2026-09-14T01:46:12.333095Z,10.0.36.73,10.0.32.109,user05,failed_login,low,server-07
SIEM-N0012,2026-09-10T15:45:17.554333Z,10.0.35.152,10.0.4.191,user24,successful_login,low,server-02
SIEM-N0013,2026-09-12T13:53:55.279194Z,10.0.34.116,10.0.11.175,user02,successful_login,high,server-03
SIEM-N0014,2026-09-11T05:50:20.020411Z,10.0.5.72,10.0.16.153,user13,successful_login,low,server-29
SIEM-N0015,2026-09-12T15:38:20.222820Z,10.0.3.8,10.0.6.64,user14,successful_login,medium,server-19
SIEM-N0016,2026-09-12T21:15:57.866890Z,10.0.14.141,10.0.21.57,user08,successful_login,low,server-05
SIEM-N0017,2026-09-12T03:23:49.823681Z,10.0.21.57,10.0.5.72,user01,successful_login,low,server-19
SIEM-N0018,2026-09-10T12:28:06.334527Z,10.0.14.141,10.0.33.58,user09,successful_login,low,server-12
SIEM-N0019,2026-09-11T02:17:46.676967Z,10.0.24.156,10.0.19.9,user06,vulnerability_scan,low,server-18
SIEM-N0020,2026-09-11T23:34:30.752362Z,10.0.34.116,10.0.1.165,user22,failed_login,medium,server-10
SIEM-N0021,2026-09-10T20:11:21.390964Z,10.0.9.190,10.0.17.110,user04,successful_login,medium,server-24
SIEM-N0022,2026-09-12T17:36:47.387138Z,10.0.39.3,10.0.14.141,user23,successful_login,low,server-22
SIEM-N0023,2026-09-12T07:53:29.201762Z,10.0.32.109,10.0.17.110,svc-backup,successful_login,high,server-02
SIEM-N0024,2026-09-15T00:55:27.061948Z,10.0.18.10,10.0.3.8,user01,successful_login,low,server-05
SIEM-N0025,2026-09-12T07:32:47.021006Z,10.0.29.168,10.0.36.73,user23,successful_login,low,server-01
SIEM-N0026,2026-09-14T22:34:30.483585Z,10.0.10.28,10.0.35.152,user02,successful_login,medium,server-19
SIEM-N0027,2026-09-12T17:41:49.158206Z,10.0.3.8,10.0.20.25,user12,successful_login,medium,server-26
SIEM-N0028,2026-09-10T15:20:11.213513Z,10.0.23.131,10.0.14.141,user22,successful_login,low,server-04
SIEM-N0029,2026-09-13T17:33:30.829846Z,10.0.27.52,10.0.10.28,carol,successful_login,high,server-28
SIEM-N0030,2026-09-14T16:29:59.236613Z,10.0.12.191,10.0.27.52,user01,failed_login,low,server-30
SIEM-N0031,2026-09-13T20:08:15.877847Z,10.0.16.153,10.0.18.10,user06,successful_login,medium,server-04
SIEM-N0032,2026-09-13T14:05:41.975838Z,10.0.31.141,10.0.15.24,user07,successful_login,medium,server-15
SIEM-N0033,2026-09-13T18:02:27.560639Z,10.0.15.24,10.0.15.24,user01,vulnerability_scan,medium,server-13
SIEM-N0034,2026-09-13T20:36:30.837083Z,10.0.18.10,10.0.23.131,user21,vulnerability_scan,low,server-22
SIEM-N0035,2026-09-10T14:15:43.335130Z,10.0.2.30,10.0.8.37,svc-backup,successful_login,high,server-06
SIEM-N0036,2026-09-12T14:19:45.235025Z,10.0.3.8,10.0.7.59,user20,successful_login,low,server-24
SIEM-N0037,2026-09-11T13:37:43.027016Z,10.0.33.58,10.0.8.37,user13,successful_login,medium,server-07
SIEM-N0038,2026-09-14T05:25:59.877348Z,10.0.1.165,10.0.34.116,carol,failed_login,medium,server-22
SIEM-N0039,2026-09-11T21:40:06.240369Z,10.0.13.230,10.0.24.156,user14,failed_login,low,server-22
SIEM-N0040,2026-09-10T21:30:26.990114Z,10.0.8.37,10.0.20.25,user17,failed_login,low,server-14
SIEM-N0041,2026-09-13T20:51:28.985102Z,10.0.36.73,10.0.9.190,user07,failed_login,low,server-13
SIEM-N0042,2026-09-12T02:43:18.647642Z,10.0.37.209,10.0.20.25,user13,successful_login,low,server-01
SIEM-N0043,2026-09-13T23:32:06.021916Z,10.0.38.224,10.0.39.3,user21,successful_login,low,server-15
SIEM-N0044,2026-09-13T06:56:26.966700Z,10.0.31.141,10.0.11.175,user22,successful_login,low,server-17
SIEM-N0045,2026-09-12T04:20:15.142716Z,10.0.6.64,10.0.16.153,user22,failed_login,low,server-26
SIEM-N0046,2026-09-14T12:06:15.869062Z,10.0.16.153,10.0.31.141,user20,successful_login,medium,server-03
SIEM-N0047,2026-09-13T05:21:00.215260Z,10.0.37.209,10.0.13.230,user23,vulnerability_scan,medium,server-16
SIEM-N0048,2026-09-13T12:02:29.963237Z,10.0.1.165,10.0.7.59,user25,successful_login,low,server-06
SIEM-N0049,2026-09-11T11:30:24.542133Z,10.0.30.181,10.0.4.191,user18,failed_login,low,server-28
SIEM-N0050,2026-09-14T21:26:13.085150Z,10.0.30.181,10.0.34.116,user18,successful_login,low,server-25
SIEM-N0051,2026-09-11T01:01:44.000050Z,10.0.33.58,10.0.28.185,admin,failed_login,high,server-15
SIEM-N0052,2026-09-11T00:20:06.099403Z,10.0.31.141,10.0.29.168,user09,failed_login,medium,server-27
SIEM-N0053,2026-09-12T07:28:50.259313Z,10.0.34.116,10.0.32.109,user21,failed_login,low,server-15
SIEM-N0054,2026-09-15T02:42:07.191130Z,10.0.18.10,10.0.22.61,user11,successful_login,medium,server-03
SIEM-N0055,2026-09-14T19:23:42.405425Z,10.0.10.28,10.0.14.141,user03,successful_login,low,server-11
SIEM-N0056,2026-09-12T18:53:11.987302Z,10.0.14.141,10.0.27.52,user13,successful_login,high,server-19
SIEM-N0057,2026-09-10T18:28:21.201489Z,10.0.37.209,10.0.25.8,user16,successful_login,low,server-12
SIEM-N0058,2026-09-14T00:09:59.334175Z,10.0.27.52,10.0.35.152,user24,successful_login,medium,server-26
SIEM-N0059,2026-09-12T11:36:34.881577Z,10.0.15.24,10.0.18.10,user14,successful_login,low,server-13
SIEM-N0060,2026-09-13T19:39:52.037122Z,10.0.26.145,10.0.11.175,admin,failed_login,low,server-05
SIEM-N0061,2026-09-10T14:18:48.105712Z,10.0.26.145,10.0.38.224,user19,successful_login,medium,server-03
SIEM-N0062,2026-09-12T06:52:12.152060Z,10.0.30.181,10.0.12.191,user02,successful_login,low,server-11
SIEM-N0063,2026-09-14T10:36:02.757221Z,10.0.25.8,10.0.18.10,user25,successful_login,high,server-14
SIEM-N0064,2026-09-14T05:43:38.698270Z,10.0.2.30,10.0.35.152,user02,successful_login,high,server-12
SIEM-N0065,2026-09-14T09:05:36.024409Z,10.0.3.8,10.0.2.30,user08,successful_login,low,server-01
SIEM-N0066,2026-09-12T09:26:22.996355Z,10.0.31.141,10.0.8.37,user19,successful_login,high,server-15
SIEM-N0067,2026-09-12T00:03:51.132422Z,10.0.11.175,10.0.39.3,user20,failed_login,high,server-23
SIEM-N0068,2026-09-14T22:15:21.799564Z,10.0.20.25,10.0.7.59,user19,vulnerability_scan,low,server-10
SIEM-N0069,2026-09-12T14:54:15.813326Z,10.0.25.8,10.0.26.145,user23,successful_login,low,server-19
SIEM-N0070,2026-09-12T01:07:34.572317Z,10.0.7.59,10.0.20.25,administrator,failed_login,medium,server-26
SIEM-N0071,2026-09-14T21:28:24.211891Z,10.0.3.8,10.0.23.131,user18,successful_login,low,server-12
SIEM-N0072,2026-09-15T03:43:30.689824Z,10.0.1.165,10.0.27.52,admin,failed_login,low,server-14
SIEM-N0073,2026-09-10T16:42:19.770963Z,10.0.30.181,10.0.10.28,user14,failed_login,low,server-17
SIEM-N0074,2026-09-10T16:08:35.348105Z,10.0.35.152,10.0.31.141,user15,successful_login,low,server-24
SIEM-N0075,2026-09-12T12:54:10.964564Z,10.0.16.153,10.0.6.64,user09,successful_login,medium,server-08
SIEM-N0076,2026-09-11T17:56:34.246251Z,10.0.25.8,10.0.22.61,user01,successful_login,low,server-11
SIEM-N0077,2026-09-14T14:10:45.181708Z,10.0.17.110,10.0.22.61,user09,successful_login,medium,server-23
SIEM-N0078,2026-09-11T02:23:13.626850Z,10.0.34.116,10.0.13.230,user03,successful_login,low,server-14
SIEM-N0079,2026-09-13T01:22:14.370161Z,10.0.31.141,10.0.32.109,user15,failed_login,medium,server-03
SIEM-N0080,2026-09-14T00:41:30.228870Z,10.0.16.153,10.0.20.25,user22,successful_login,low,server-16
SIEM-N0081,2026-09-12T17:34:59.683436Z,10.0.36.73,10.0.22.61,user12,successful_login,medium,server-09
SIEM-N0082,2026-09-13T23:12:18.867737Z,10.0.13.230,10.0.21.57,user04,successful_login,medium,server-25
SIEM-N0083,2026-09-12T01:10:49.344611Z,10.0.31.141,10.0.18.10,user24,successful_login,low,server-25
SIEM-N0084,2026-09-12T21:02:36.872545Z,10.0.7.59,10.0.13.230,user10,successful_login,low,server-06
SIEM-N0085,2026-09-13T23:43:40.401647Z,10.0.9.190,10.0.18.10,user02,failed_login,high,server-18
SIEM-N0086,2026-09-14T00:56:36.969553Z,10.0.32.109,10.0.7.59,administrator,successful_login,low,server-10
SIEM-N0087,2026-09-13T03:40:20.519790Z,10.0.12.191,10.0.4.191,user09,successful_login,high,server-16
SIEM-N0088,2026-09-14T22:18:34.355207Z,10.0.32.109,10.0.5.72,user19,successful_login,medium,server-02
SIEM-N0089,2026-09-14T17:47:33.932997Z,10.0.20.25,10.0.6.64,user08,vulnerability_scan,low,server-25
SIEM-N0090,2026-09-13T10:03:32.822751Z,10.0.15.24,10.0.34.116,user13,successful_login,low,server-15
SIEM-N0091,2026-09-14T00:19:03.446752Z,10.0.28.185,10.0.20.25,user19,successful_login,medium,server-20
SIEM-N0092,2026-09-10T16:47:13.008148Z,10.0.14.141,10.0.14.141,user09,successful_login,medium,server-06
SIEM-N0093,2026-09-14T07:12:58.243245Z,10.0.11.175,10.0.1.165,user14,successful_login,low,server-20
SIEM-N0094,2026-09-13T03:36:37.809069Z,10.0.19.9,10.0.19.9,user23,successful_login,medium,server-03
SIEM-N0095,2026-09-12T01:30:49.714529Z,10.0.38.224,10.0.13.230,user14,successful_login,low,server-08
SIEM-N0096,2026-09-12T06:17:01.799490Z,10.0.10.28,10.0.5.72,user02,successful_login,low,server-10
SIEM-N0097,2026-09-12T12:35:40.975878Z,10.0.19.9,10.0.29.168,user04,vulnerability_scan,low,server-10
SIEM-N0098,2026-09-12T00:01:55.048090Z,10.0.33.58,10.0.35.152,user16,successful_login,low,server-20
SIEM-N0099,2026-09-15T07:13:00.141233Z,10.0.21.57,10.0.39.3,user09,successful_login,low,server-08
SIEM-N0100,2026-09-10T16:34:14.403853Z,10.0.37.209,10.0.38.224,user01,vulnerability_scan,high,server-22
SIEM-N0101,2026-09-11T09:25:46.022048Z,10.0.12.191,10.0.31.141,user17,successful_login,medium,server-30
SIEM-N0102,2026-09-14T02:37:16.360705Z,10.0.28.185,10.0.32.109,user03,successful_login,low,server-14
SIEM-N0103,2026-09-13T20:00:10.773937Z,10.0.11.175,10.0.22.61,user14,failed_login,medium,server-10
SIEM-N0104,2026-09-12T04:29:23.912020Z,10.0.36.73,10.0.3.8,user15,successful_login,low,server-09
SIEM-N0105,2026-09-13T21:12:25.724329Z,10.0.26.145,10.0.33.58,admin,successful_login,high,server-22
SIEM-N0106,2026-09-11T03:40:33.246773Z,10.0.4.191,10.0.13.230,user17,successful_login,low,server-25
SIEM-N0107,2026-09-13T00:10:50.979771Z,10.0.4.191,10.0.14.141,user09,successful_login,low,server-30
SIEM-N0108,2026-09-14T01:26:11.409365Z,10.0.32.109,10.0.8.37,user01,vulnerability_scan,high,server-20
SIEM-N0109,2026-09-11T12:04:56.467225Z,10.0.20.25,10.0.36.73,user01,failed_login,low,server-03
SIEM-N0110,2026-09-14T09:02:09.315115Z,10.0.8.37,10.0.30.181,user04,vulnerability_scan,medium,server-05
SIEM-N0111,2026-09-13T00:11:41.781966Z,10.0.33.58,10.0.18.10,user14,failed_login,medium,server-16
SIEM-N0112,2026-09-14T06:45:08.248576Z,10.0.25.8,10.0.13.230,carol,successful_login,low,server-24
SIEM-N0113,2026-09-11T02:28:51.057777Z,10.0.18.10,10.0.27.52,user11,vulnerability_scan,high,server-17
SIEM-N0114,2026-09-14T03:56:21.409555Z,10.0.20.25,10.0.38.224,user19,successful_login,high,server-16
SIEM-N0115,2026-09-11T04:10:07.423089Z,10.0.31.141,10.0.23.131,user11,successful_login,low,server-18
SIEM-N0116,2026-09-13T14:44:05.256580Z,10.0.13.230,10.0.16.153,user19,successful_login,low,server-28
SIEM-N0117,2026-09-11T14:56:04.786757Z,10.0.31.141,10.0.25.8,user13,successful_login,high,server-26
SIEM-N0118,2026-09-11T09:30:37.057661Z,10.0.32.109,10.0.3.8,user05,successful_login,low,server-19
SIEM-N0119,2026-09-13T20:09:38.287902Z,10.0.29.168,10.0.7.59,user17,successful_login,high,server-01
SIEM-N0120,2026-09-11T21:18:24.266489Z,10.0.10.28,10.0.5.72,user16,successful_login,medium,server-09
SIEM-N0121,2026-09-13T19:22:21.546890Z,10.0.6.64,10.0.22.61,administrator,failed_login,medium,server-18
SIEM-N0122,2026-09-13T14:23:55.940270Z,10.0.32.109,10.0.35.152,user02,successful_login,medium,server-08
SIEM-N0123,2026-09-12T08:15:38.440719Z,10.0.15.24,10.0.6.64,user14,successful_login,high,server-25
SIEM-N0124,2026-09-12T07:57:00.937967Z,10.0.29.168,10.0.11.175,user23,vulnerability_scan,low,server-01
SIEM-N0125,2026-09-15T06:28:51.901531Z,10.0.19.9,10.0.23.131,user12,failed_login,low,server-08
SIEM-N0126,2026-09-12T20:15:36.150560Z,10.0.12.191,10.0.11.175,user06,successful_login,low,server-28
SIEM-N0127,2026-09-13T14:05:40.862998Z,10.0.32.109,10.0.38.224,user05,failed_login,low,server-21
SIEM-N0128,2026-09-14T05:31:21.789373Z,10.0.1.165,10.0.30.181,svc-backup,successful_login,low,server-18
SIEM-N0129,2026-09-14T17:02:34.531265Z,10.0.23.131,10.0.38.224,user10,successful_login,medium,server-14
SIEM-N0130,2026-09-12T01:09:44.562617Z,10.0.20.25,10.0.13.230,user13,successful_login,medium,server-04
SIEM-N0131,2026-09-14T07:32:07.136767Z,10.0.37.209,10.0.19.9,user23,successful_login,low,server-27
SIEM-N0132,2026-09-12T05:00:44.719519Z,10.0.37.209,10.0.4.191,carol,successful_login,medium,server-16
SIEM-N0133,2026-09-11T08:03:33.595341Z,10.0.15.24,10.0.39.3,user26,successful_login,low,server-21
SIEM-N0134,2026-09-14T13:11:02.980632Z,10.0.9.190,10.0.7.59,svc-backup,successful_login,medium,server-02
SIEM-N0135,2026-09-13T22:55:40.994132Z,10.0.38.224,10.0.24.156,user24,successful_login,low,server-30
SIEM-N0136,2026-09-14T00:35:12.284896Z,10.0.12.191,10.0.13.230,user05,failed_login,medium,server-29
SIEM-N0137,2026-09-10T15:25:16.500917Z,10.0.18.10,10.0.11.175,user09,successful_login,high,server-16
SIEM-N0138,2026-09-10T15:54:50.079096Z,10.0.22.61,10.0.8.37,user15,successful_login,high,server-05
SIEM-N0139,2026-09-11T17:30:06.554998Z,10.0.26.145,10.0.36.73,user12,successful_login,low,server-13
SIEM-N0140,2026-09-15T10:19:47.140996Z,10.0.30.181,10.0.24.156,user22,successful_login,medium,server-09
SIEM-N0141,2026-09-12T13:51:10.040406Z,10.0.24.156,10.0.7.59,user22,vulnerability_scan,low,server-01
SIEM-N0142,2026-09-12T09:39:15.753437Z,10.0.21.57,10.0.15.24,user21,successful_login,low,server-27
SIEM-N0143,2026-09-13T04:17:16.424309Z,10.0.27.52,10.0.8.37,user05,failed_login,low,server-02
SIEM-N0144,2026-09-13T23:28:34.499558Z,10.0.7.59,10.0.16.153,svc-backup,successful_login,low,server-13
SIEM-N0145,2026-09-13T05:33:45.897024Z,10.0.35.152,10.0.27.52,user19,failed_login,medium,server-05
SIEM-N0146,2026-09-11T01:45:01.245355Z,10.0.32.109,10.0.27.52,user09,failed_login,low,server-12
SIEM-N0147,2026-09-14T09:55:39.496211Z,10.0.16.153,10.0.24.156,user04,successful_login,high,server-12
SIEM-N0148,2026-09-12T18:39:50.747840Z,10.0.23.131,10.0.4.191,user13,successful_login,low,server-04
SIEM-N0149,2026-09-10T18:07:07.339471Z,10.0.6.64,10.0.14.141,user21,vulnerability_scan,medium,server-01
SIEM-N0150,2026-09-15T05:55:50.083394Z,10.0.9.190,10.0.37.209,user07,successful_login,low,server-25
SIEM-N0151,2026-09-12T17:29:42.235385Z,10.0.15.24,10.0.22.61,user25,successful_login,low,server-29
SIEM-N0152,2026-09-12T12:28:55.933605Z,10.0.10.28,10.0.9.190,user18,successful_login,low,server-06
SIEM-N0153,2026-09-14T22:48:31.817712Z,10.0.9.190,10.0.1.165,user12,vulnerability_scan,medium,server-08
SIEM-N0154,2026-09-12T13:20:15.537674Z,10.0.17.110,10.0.4.191,user05,successful_login,medium,server-17
SIEM-N0155,2026-09-14T22:21:43.499468Z,10.0.29.168,10.0.24.156,user17,successful_login,low,server-15
SIEM-N0156,2026-09-12T23:32:21.686013Z,10.0.3.8,10.0.34.116,user10,successful_login,low,server-01
SIEM-N0157,2026-09-15T04:42:03.423962Z,10.0.26.145,10.0.28.185,user22,successful_login,low,server-23
SIEM-N0158,2026-09-10T22:50:09.241822Z,10.0.6.64,10.0.21.57,user20,successful_login,low,server-05
SIEM-N0159,2026-09-14T02:59:53.088191Z,10.0.36.73,10.0.21.57,user13,failed_login,high,server-17
SIEM-N0160,2026-09-14T00:36:44.173750Z,10.0.28.185,10.0.7.59,user26,successful_login,medium,server-28
SIEM-N0161,2026-09-12T05:26:04.002350Z,10.0.36.73,10.0.14.141,user14,vulnerability_scan,low,server-08
SIEM-N0162,2026-09-13T10:20:32.537252Z,10.0.26.145,10.0.27.52,user24,vulnerability_scan,low,server-14
SIEM-N0163,2026-09-13T22:29:49.817267Z,10.0.10.28,10.0.31.141,user03,successful_login,low,server-03
SIEM-N0164,2026-09-15T00:48:44.596064Z,10.0.24.156,10.0.9.190,user18,successful_login,low,server-18
SIEM-N0165,2026-09-12T16:35:52.779162Z,10.0.27.52,10.0.23.131,administrator,failed_login,medium,server-25
SIEM-N0166,2026-09-13T09:14:51.278310Z,10.0.4.191,10.0.19.9,user20,successful_login,low,server-04
SIEM-N0167,2026-09-12T14:38:59.200056Z,10.0.31.141,10.0.15.24,administrator,successful_login,low,server-28
SIEM-N0168,2026-09-12T17:14:53.314323Z,10.0.18.10,10.0.37.209,user08,successful_login,medium,server-28
SIEM-N0169,2026-09-12T16:41:02.816845Z,10.0.36.73,10.0.2.30,user20,failed_login,high,server-27
SIEM-N0170,2026-09-12T00:47:00.446846Z,10.0.18.10,10.0.20.25,carol,successful_login,low,server-01
SIEM-N0171,2026-09-14T14:13:52.798852Z,10.0.26.145,10.0.5.72,user05,successful_login,medium,server-01
SIEM-N0172,2026-09-15T00:59:20.680920Z,10.0.25.8,10.0.27.52,user15,successful_login,low,server-12
SIEM-N0173,2026-09-13T22:36:12.656288Z,10.0.37.209,10.0.39.3,user03,successful_login,medium,server-05
SIEM-N0174,2026-09-14T17:06:38.924450Z,10.0.6.64,10.0.18.10,user15,failed_login,medium,server-16
SIEM-N0175,2026-09-12T11:09:03.164785Z,10.0.14.141,10.0.33.58,user04,successful_login,low,server-04
SIEM-N0176,2026-09-14T02:00:37.524925Z,10.0.32.109,10.0.34.116,user22,failed_login,low,server-08
SIEM-N0177,2026-09-13T12:34:06.212890Z,10.0.1.165,10.0.14.141,user10,successful_login,high,server-25
SIEM-N0178,2026-09-14T19:31:54.564129Z,10.0.21.57,10.0.8.37,user01,successful_login,low,server-14
SIEM-N0179,2026-09-14T14:54:59.845590Z,10.0.15.24,10.0.33.58,user18,successful_login,medium,server-26
SIEM-N0180,2026-09-13T17:29:59.781973Z,10.0.3.8,10.0.28.185,user01,successful_login,low,server-03
SIEM-N0181,2026-09-11T04:32:48.474120Z,10.0.37.209,10.0.26.145,user23,successful_login,medium,server-10
SIEM-N0182,2026-09-14T22:10:45.103009Z,10.0.21.57,10.0.11.175,user26,successful_login,high,server-15
SIEM-N0183,2026-09-11T08:09:24.805553Z,10.0.6.64,10.0.28.185,administrator,successful_login,low,server-14
SIEM-N0184,2026-09-12T13:20:07.603453Z,10.0.26.145,10.0.20.25,user24,successful_login,low,server-11
SIEM-N0185,2026-09-11T14:30:21.080763Z,10.0.8.37,10.0.34.116,user17,successful_login,low,server-25
SIEM-N0186,2026-09-13T18:04:29.885316Z,10.0.10.28,10.0.16.153,user04,failed_login,low,server-07
SIEM-N0187,2026-09-14T15:10:48.422305Z,10.0.5.72,10.0.12.191,user25,successful_login,medium,server-15
SIEM-N0188,2026-09-11T17:27:59.403493Z,10.0.29.168,10.0.37.209,user21,failed_login,medium,server-20
SIEM-N0189,2026-09-13T21:12:54.039610Z,10.0.21.57,10.0.10.28,user15,successful_login,low,server-15
SIEM-N0190,2026-09-12T08:14:01.628149Z,10.0.38.224,10.0.4.191,user12,failed_login,low,server-10
SIEM-N0191,2026-09-13T04:35:27.245855Z,10.0.24.156,10.0.19.9,user03,successful_login,medium,server-28
SIEM-N0192,2026-09-15T01:09:51.910266Z,10.0.25.8,10.0.30.181,user19,successful_login,low,server-26
