event_id,timestamp,computer_name,account,process,network_connection,event_type
EDR-N0082,2026-09-11T18:16:18.550351Z,server-12,user14,notepad.exe,10.0.36.73,process_execution
EDR-N0083,2026-09-10T22:27:51.744262Z,server-26,user22,notepad.exe,10.0.14.141,process_execution
EDR-N0084,2026-09-11T16:34:36.644172Z,server-28,user26,notepad.exe,10.0.6.64,process_execution
EDR-N0085,2026-09-12T20:56:21.124513Z,server-23,user12,notepad.exe,10.0.5.72,process_execution
EDR-N0086,2026-09-10T21:55:50.286671Z,server-02,admin,chrome.exe,10.0.36.73,process_execution
EDR-N0087,2026-09-10T23:39:12.314776Z,server-19,user18,outlook.exe,10.0.10.28,process_execution
EDR-N0088,2026-09-14T16:15:19.948356Z,server-15,user04,notepad.exe,10.0.14.141,process_execution
EDR-N0089,2026-09-11T21:58:11.438610Z,server-03,svc-backup,teams.exe,10.0.33.58,process_execution
EDR-N0046-DUP,2026-09-13T18:55:14.728361Z,server-22,user25,explorer.exe,10.0.17.110,process_execution
EDR-N0073-DUP,2026-09-11T08:45:40.395481Z,server-11,user03,notepad.exe,10.0.26.145,process_execution
EDR-N0026-DUP,2026-09-12T23:29:21.611419Z,server-09,admin,notepad.exe,10.0.8.37,process_execution
EDR-N0079-DUP,2026-09-13T23:10:59.660254Z,server-22,user17,teams.exe,10.0.20.25,process_execution
EDR-B00-DUP,2026-09-14T02:32:00Z,server-05,admin,powershell.exe -File nightly_maintenance.ps1,,process_execution
